Orig,Actl_BM,Gross_gal,Enroute_gal,Alt_gal,Cont_gal,Tanker_gal,cluster,cluster_euclid,cluster_cosine
VQA,81.9896700143472,1157.4229842180791,456.45265423242466,172.01944045911048,200.35021520803397,328.5941463414631,4,1,0
WAS,140.30078210657115,1649.6454352752087,1193.720122798041,160.7607192456689,228.91829544623988,66.24380527739204,2,0,0
WBS,117.95514774082417,1270.5388299986778,801.154630979197,172.69016165363672,222.22324764807115,74.4730886444945,6,1,0
WJY,106.20501138952164,1390.1231207289297,854.3990129081245,150.99817767653767,221.77213363705388,162.94589977220946,6,1,0
WVP,78.98073901908882,790.9788129209974,402.5573202487787,100.34281963544058,201.7114662018213,86.36537327565786,0,3,0
XBH,163.12070355810906,2310.75527668582,1600.542132849511,183.41794173974398,250.40548835802772,276.38823203306123,1,2,0
XFG,106.5265418591458,963.9481238349955,537.1376124483345,182.07195072534248,197.2878920495995,47.448115730610276,4,3,0
XFK,180.44731861198738,1499.3814511041007,1129.2842271293375,128.53634069400619,235.64990536277642,5.911735015772872,6,0,0
XIZ,179.6720894301554,1567.5898118694897,1183.462691993093,154.99741888575807,222.65819322003048,6.475061346905394,2,0,0
XJD,129.71888141295207,1427.1122371740948,955.9782380151388,174.63716358284285,227.00370058872932,69.49540580319594,6,1,0
XPC,108.72619208429015,1451.3221801972222,766.7190328245306,179.5737133594487,227.76374442793494,277.264798054843,6,1,0
XUB,132.6643026004728,616.1275650118213,278.5683215130024,156.21947990543734,175.50014184397185,5.838628841607562,0,6,0
YFQ,121.728024725025,1327.6921188982824,825.4062357967457,161.0192437051172,214.78628306517564,126.48341059903635,6,1,0
YGX,170.6272888363851,2402.2183303799943,1724.6207914943886,203.36351644024433,252.47781059263673,221.75253002559546,1,2,0
YLD,135.9892158346234,2164.244527603544,1325.0344883777775,166.4042455740108,236.38570123264043,436.4214245806774,2,0,0
YQG,137.54176862712006,1834.094991983809,1249.0134587798498,177.93390431187223,240.71550923972575,166.4321829381486,2,0,0
YUY,52.5,4598.45,4163.5,264.0,171.1,0.0,3,5,0
YVH,73.59382716049383,698.8939506172845,237.76296296296297,153.66827160493824,160.27469135802485,147.19358024691363,0,6,0
YXE,39.297872340425535,491.26170212765965,167.5531914893617,203.97446808510645,104.54680851063827,15.178723404255319,0,6,0
ZBF,95.04035847824797,1000.678087720342,517.3826339842127,164.64780699151342,221.61744910677115,97.0319603537302,4,3,0
ZEY,121.6818608691569,1791.042831568593,1115.1131347874064,157.54326826004473,237.98186321696102,280.40323879510817,2,0,0
ZGQ,96.41976105908944,1158.9588296592024,680.4847212845275,146.1336748172716,229.5162092347427,102.82487451199081,4,1,0
ZJJ,112.39209431345354,1104.3999167822444,649.9540915395285,179.64241331484052,216.63952843273182,58.16395284327324,4,1,0
ZMB,122.22485097636176,1525.447977389507,938.3213155190134,166.18266084275513,230.5920143884894,190.35183453237426,6,0,0
ZMS,76.21475966984949,670.7229486971994,277.023628418838,142.3686680692668,162.31959864055693,89.0076064088041,0,6,0
ZOD,97.44919194155413,777.4547930042036,375.38565419526236,185.42450741642708,191.49048040734968,25.16070400708436,0,3,0
ZTF,43.22222222222222,712.2333333333333,169.44444444444446,357.3111111111111,185.4222222222222,0.0,0,6,0
ZXU,138.11217457886676,1892.3302805731682,1218.8241632028003,188.8023490483487,245.87232826515068,238.83256125574323,2,0,0
